source_ISO,target_ISO,value
SBA,ESP,2561
SBA,DEU,6074
SBA,DNK,940
SBA,CHE,2280
SBA,NGA,439
SBA,GBR,12883
SBA,USA,83149
SBA,SAU,582
SBA,BEN,31
SBA,ARE,266
SBA,GHA,113
SBA,ETH,257
SBA,AUS,5510
SBA,YEM,61
SBA,TUR,1208
SBA,IND,11586
SBA,JOR,86
SBA,JPN,4076
SBA,EGY,504
SBA,LBY,9
SBA,BHR,22
SBA,OMN,53
SBA,ITA,3086
SBA,DZA,39
SBA,NLD,2442
SBA,PRT,675
SBA,KAZ,47
SBA,IRQ,90
SBA,ECU,163
SBA,FRA,3596
SBA,BRA,3126
SBA,PHL,312
SBA,CHN,33328
SBA,MDG,8
SBA,BEL,1114
SBA,LKA,69
SBA,KOR,3129
SBA,PER,226
SBA,ISR,1093
SBA,PRY,33
SBA,GRC,396
SBA,NZL,621
SBA,PAK,883
SBA,AZE,34
SBA,ANZ,34
SBA,IDN,931
SBA,IRN,620
SBA,MYS,596
SBA,THA,347
SBA,ARG,737
SBA,PAN,116
SBA,KNA,17
SBA,PRI,170
SBA,LBN,144
SBA,SRB,91
SBA,MAR,118
SBA,NOR,857
USA,SBA,89387
CHN,SBA,31243
FRA,SBA,3745
IRL,SBA,867
IND,SBA,16873
AUT,SBA,812
DEU,SBA,6521
THA,SBA,357
IDN,SBA,1140
CAN,SBA,6503
EGY,SBA,685
GBR,SBA,12717
KOR,SBA,2903
IRN,SBA,882
JPN,SBA,4710
PRT,SBA,764
CHE,SBA,2366
RUS,SBA,1215
SCG,SBA,1221
SGP,SBA,1221
AUS,SBA,5436
ITA,SBA,3042
CHL,SBA,499
PHL,SBA,262
NLD,SBA,2588
SWE,SBA,1295
DNK,SBA,771
ISR,SBA,1139
NZL,SBA,556
PAK,SBA,853
HKG,SBA,1695
BEL,SBA,1180
ARM,SBA,125
HUN,SBA,281
FIN,SBA,544
ZMB,SBA,57
SAU,SBA,749
ROU,SBA,463
RHO,SBA,463
CZE,SBA,689
MNG,SBA,85
BRA,SBA,4381
TWN,SBA,1946
ARG,SBA,688
ZAF,SBA,612
ZAI,SBA,612
ESP,SBA,2783
COL,SBA,562
ISL,SBA,39
PRI,SBA,189
TUR,SBA,1597
POL,SBA,822
LTU,SBA,51
NOR,SBA,885
LUX,SBA,49
UKR,SBA,317
UAR,SBA,317
PER,SBA,333
EST,SBA,57
MAC,SBA,168
KEN,SBA,150
MEX,SBA,1190
NGA,SBA,614
MMR,SBA,36
CRI,SBA,323
SVN,SBA,153
ECU,SBA,216
RWA,SBA,50
NER,SBA,18
SSD,SBA,280
BGD,SBA,584
BGR,SBA,171
COD,SBA,20
UGA,SBA,159
SVK,SBA,156
HND,SBA,19
GEO,SBA,23
NPL,SBA,384
BLR,SBA,58
TUN,SBA,101
GNB,SBA,8
NIC,SBA,21
DOM,SBA,54
VNM,SBA,405
MDG,SBA,15
GHA,SBA,110
ETH,SBA,203
MYS,SBA,523
IRQ,SBA,91
GRC,SBA,409
GUM,SBA,5
VEN,SBA,110
LBN,SBA,176
SBA,NPL,342
SBA,BGR,152
SBA,CZE,595
SBA,COL,473
SBA,SWE,1206
SBA,CAN,6305
SBA,SVK,159
SBA,COG,14
SBA,BRB,19
SBA,ROU,368
SBA,RHO,368
SBA,HUN,255
SBA,BDI,21
SBA,RWA,46
SBA,CUB,159
SBA,ZAF,540
SBA,ZAI,540
SBA,VEN,48
SBA,IRL,938
SBA,TWN,2212
SBA,RUS,1030
SBA,MEX,958
SBA,MDA,10
SBA,BGD,448
SBA,BOL,40
SBA,BOH,40
SBA,CHL,479
SBA,POL,731
SBA,VNM,553
SBA,SEN,19
SBA,TZA,111
SBA,LVA,47
SBA,DJI,1
SBA,UKR,234
SBA,UAR,234
SBA,QAT,161
SBA,CMR,93
SBA,TJK,19
SBA,FIN,593
SBA,ATG,30
SBA,TUN,82
SBA,LIE,104
SBA,CYM,87
SBA,GUY,7
SBA,AUT,677
SBA,GTM,27
SBA,GUM,7
SBA,ZWE,33
SBA,LBR,8
VIR,SBA,10
SBA,CRI,281
SBA,HKG,1800
SBA,SSD,374
SBA,UGA,139
SBA,TGO,14
SBA,SDN,34
SBA,JAM,23
SBA,VCT,2
SBA,COD,17
SBA,ZMB,60
SBA,KWT,69
SBA,GAB,4
SBA,SYR,15
SBA,MWI,37
SBA,SVN,158
SBA,AGO,5
SBA,LUX,43
SBA,MAC,215
SBA,NIC,24
SBA,MOZ,25
SBA,BLR,50
SBA,MUS,6
SBA,URY,72
YEM,SBA,39
ARE,SBA,317
LIE,SBA,53
QAT,SBA,166
BHS,SBA,9
LKA,SBA,98
SDN,SBA,26
HRV,SBA,104
CMR,SBA,101
KHM,SBA,86
SRB,SBA,105
AFG,SBA,10
GMB,SBA,7
KWT,SBA,64
UZB,SBA,19
SOM,SBA,6
AZE,SBA,35
ANZ,SBA,35
BEN,SBA,10
CYP,SBA,93
DZA,SBA,50
BRB,SBA,15
LVA,SBA,54
BDI,SBA,28
PAN,SBA,109
KAZ,SBA,57
CIV,SBA,17
MKD,SBA,38
CUB,SBA,184
URY,SBA,82
STP,SBA,17
MAR,SBA,127
ATG,SBA,36
SYR,SBA,39
SBA,PSE,22
SBA,KEN,128
SBA,BHS,4
SBA,MMR,47
SBA,NER,24
SBA,CYP,82
JOR,SBA,88
LAO,SBA,21
MTQ,SBA,7
SBA,HRV,109
SBA,BFA,10
TTO,SBA,14
IMN,SBA,2
SUR,SBA,7
SBA,SUR,4
SBA,KHM,100
SBA,MNE,14
SBA,ISL,44
PNG,SBA,4
GRD,SBA,30
MWI,SBA,29
PSE,SBA,35
SEN,SBA,16
KNA,SBA,14
SBA,GRD,37
TZA,SBA,122
ZWE,SBA,30
BWA,SBA,19
MNE,SBA,21
MSR,SBA,5
GTM,SBA,32
HTI,SBA,6
TJK,SBA,9
VGB,SBA,26
BOL,SBA,55
BOH,SBA,55
CYM,SBA,57
SLV,SBA,10
SBA,DOM,63
SBA,SCG,1140
SBA,SGP,1140
SBA,MKD,40
SBA,VIR,28
SBA,FJI,12
SBA,STP,16
SBA,EST,56
SBA,UZB,19
SBA,GEO,35
SBA,BIH,18
SBA,MNG,99
SBA,LTU,34
SBA,NAM,19
SBA,ARM,157
SBA,CIV,17
SBA,BRN,8
NCL,SBA,11
SMR,SBA,16
OMN,SBA,52
SBA,GNB,9
SBA,MTQ,7
SBA,LCA,5
SBA,SOM,9
MLI,SBA,12
SBA,AFG,20
SBA,SXM,11
SBA,SWZ,5
SBA,SLE,6
BIH,SBA,31
JAM,SBA,33
AGO,SBA,11
BTN,SBA,10
MDV,SBA,7
PRY,SBA,29
GLP,SBA,6
SBA,MLT,33
XKS,SBA,7
MDA,SBA,16
CAF,SBA,1
SBA,ABW,2
CPV,SBA,3
GUF,SBA,5
MOZ,SBA,18
SBA,TTO,17
SBA,VGB,15
SBA,JEY,9
SBA,REU,5
LBY,SBA,16
SLE,SBA,9
PYF,SBA,3
ERI,SBA,1
SBA,SLV,11
SBA,AND,2
BLZ,SBA,5
BHR,SBA,25
SBA,HND,12
SBA,ALB,12
SBA,LAO,13
SBA,CUW,6
SBA,GMB,9
SBA,KGZ,7
SBA,BWA,14
SBA,MDV,3
KGZ,SBA,12
MLT,SBA,19
TGO,SBA,6
