source_ISO,target_ISO,value
ARM,GBA,1
AUS,GBA,87
AUT,GBA,3
BEL,GBA,3
BGD,GBA,10
BHS,GBA,1
BRA,GBA,9
CAN,GBA,46
CHE,GBA,25
CHN,GBA,2205
COL,GBA,2
CZE,GBA,2
DEU,GBA,56
DNK,GBA,14
ECU,GBA,2
EGY,GBA,3
ESP,GBA,17
ETH,GBA,8
FIN,GBA,11
FRA,GBA,33
GBA,ISR,1
GBA,AZE,1
GBA,MLI,1
GBA,QAT,1
GBA,AGO,1
GBA,TGO,1
GBA,KAZ,1
GBA,COL,1
GBA,IDN,1
GBA,ANZ,1
GBA,SVN,1
GBA,ARM,1
GBA,ECU,1
GBA,MLT,1
GBA,SRB,1
GBA,MKD,1
GBA,BEN,1
GBA,GHA,1
GBA,SSD,1
GBA,HUN,1
GBA,NGA,1
GBA,MOZ,1
GBA,CYP,1
GBA,VNM,2
GBA,EGY,2
GBA,MEX,2
GBA,CHL,2
GBA,ETH,3
GBA,UAR,3
GBA,ZAF,3
GBA,LKA,3
GBA,BRA,3
GBA,POL,3
GBA,ZAI,3
GBA,UKR,3
GBA,PHL,3
GBA,LUX,4
GBA,CZE,4
GBA,TUR,4
GBA,NPL,4
GBA,AUT,4
GBA,CHN,772
GBA,BEL,5
GBA,BGD,6
GBA,NZL,6
GBA,NOR,7
GBA,SAU,7
GBA,RUS,8
GBA,MYS,8
GBA,ARE,8
GBA,PRT,9
GBA,PAK,10
GBA,THA,11
GBA,IRL,12
GBA,FIN,14
GBA,IND,16
GBA,ITA,17
GBA,DNK,17
GBA,TWN,21
GBA,SWE,25
GBA,ESP,27
GBA,CHE,32
GBA,KOR,37
GBA,FRA,42
GBA,NLD,45
GBA,CAN,56
GBA,DEU,73
GBA,JPN,79
GBA,GBR,337
GBA,AUS,98
GBA,SGP,127
GBA,SCG,127
GBA,USA,409
GBR,GBA,297
GHA,GBA,16
HUN,GBA,3
IDN,GBA,4
IND,GBA,48
IRL,GBA,7
IRN,GBA,8
ISL,GBA,1
ISR,GBA,2
ITA,GBA,14
JOR,GBA,1
JPN,GBA,39
KOR,GBA,28
LKA,GBA,4
MEX,GBA,1
MLI,GBA,1
MLT,GBA,1
MYS,GBA,5
NGA,GBA,11
NLD,GBA,32
NOR,GBA,2
NPL,GBA,3
NZL,GBA,13
PAK,GBA,44
PHL,GBA,7
POL,GBA,4
PRT,GBA,5
QAT,GBA,1
RUS,GBA,12
RWA,GBA,1
SAU,GBA,4
SCG,GBA,80
SDN,GBA,1
SGP,GBA,80
SRB,GBA,1
SWE,GBA,10
THA,GBA,6
TUN,GBA,1
TUR,GBA,1
TWN,GBA,18
TZA,GBA,1
UAR,GBA,4
UKR,GBA,4
USA,GBA,310
UZB,GBA,2
YEM,GBA,2
ZAF,GBA,2
ZAI,GBA,2
SBA,ARE,1
SBA,ARG,16
SBA,AUS,47
SBA,AUT,10
SBA,BEL,4
SBA,BGD,1
SBA,BGR,1
SBA,BOH,1
SBA,BOL,1
SBA,BRA,26
SBA,CAN,51
SBA,CHE,33
SBA,CHL,8
SBA,CHN,38
SBA,COL,19
SBA,CRI,103
SBA,CUB,13
SBA,CYP,1
SBA,CZE,2
SBA,DEU,49
SBA,DNK,8
SBA,DOM,1
SBA,ECU,5
SBA,EGY,2
SBA,ESP,72
SBA,EST,1
SBA,ETH,1
SBA,FIN,2
SBA,FJI,1
SBA,FRA,35
SBA,GBR,82
SBA,HKG,5
SBA,HND,2
